Document Type	Number	Document Code	Document Name	Risk
Standard Operating Procedure	CO-PRD1-SOP-310	SOP	Use of calibrated timers	LOW
Standard Operating Procedure	CO-PRD1-SOP-311	SOP	Use of the Rotary Vane Anemometer in Oak House	LOW
Standard Operating Procedure	CO-PRD1-SOP-312	SOP	Guidance for the completion of Reagent Production Manufacturing Batch Records (MBRs)	HIGH
Standard Operating Procedure	CO-PRD1-SOP-313	SOP	Use of Membrane Filters in the binx Reagent Manufacturing Facility 	LOW
Standard Operating Procedure	CO-PRD1-SOP-318	SOP	The use of the calibrated air temperature probe	LOW
Standard Operating Procedure	CO-PRD1-SOP-319	SOP	Jenway 3510 model pH Meter with ATC probe and 924 30 6.0mm model Tris electrode SOP in Oak House	LOW
Standard Operating Procedure	CO-PRD1-SOP-355	SOP	Manufacturing Overview for CT/IC Detection reagent	HIGH
Standard Operating Procedure	CO-QA-SOP-003	SOP	Non Conformance Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-004	SOP	Internal Audit	LOW
Standard Operating Procedure	CO-QA-SOP-005	SOP	Document and Records Archiving	LOW
Standard Operating Procedure	CO-QA-SOP-007	SOP	"Correction, Removal and Recall Procedure"	HIGH
Standard Operating Procedure	CO-QA-SOP-011	SOP	Supplier Corrective Action Response Procedure	LOW
Standard Operating Procedure	CO-QA-SOP-012	SOP	Annual Quality Objectives 	LOW
Standard Operating Procedure	CO-QA-SOP-014	SOP	Quality Planning Procedure	LOW
Standard Operating Procedure	CO-QA-SOP-015	SOP	Competence of Atlas Auditors	LOW
Standard Operating Procedure	CO-QA-SOP-016	SOP	Identification and Traceability	LOW
Standard Operating Procedure	CO-QA-SOP-024	SOP	Sharepoint Administration	LOW
Standard Operating Procedure	CO-QA-SOP-025	SOP	Management Review	LOW
Standard Operating Procedure	CO-QA-SOP-026	SOP	Use of Sharepoint	LOW
Standard Operating Procedure	CO-QA-SOP-028	SOP	Quality Records	HIGH
Standard Operating Procedure	CO-QA-SOP-030	SOP	Accessing and Finding Documents in QT9	LOW
Standard Operating Procedure	CO-QA-SOP-031	SOP	Revising and Introducing Documents in QT9	HIGH
Standard Operating Procedure	CO-QA-SOP-043	SOP	Training Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-076	SOP	Product Complaint Handling	HIGH
Standard Operating Procedure	CO-QA-SOP-077	SOP	Supplier Audit Procedure	LOW
Standard Operating Procedure	CO-QA-SOP-093	SOP	CAPA Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-096	SOP	Monitoring and Reporting of Quality Data	LOW
Standard Operating Procedure	CO-QA-SOP-098	SOP	Document Matrix	LOW
Standard Operating Procedure	CO-QA-SOP-099	SOP	Deviation procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-139	SOP	Change Management	HIGH
Standard Operating Procedure	CO-QA-SOP-140	SOP	Document Control & Control of Quality Records	LOW
Standard Operating Procedure	CO-QA-SOP-147	SOP	Managing an External Regulatory Visit	LOW
Standard Operating Procedure	CO-QA-SOP-237	SOP	QT9 - Periodic Review and Making Documents Obsolete	LOW
Standard Operating Procedure	CO-QA-SOP-244	SOP	QT9 Administration	LOW
Standard Operating Procedure	CO-QA-SOP-267	SOP	Post Market Surveillance	LOW
Standard Operating Procedure	CO-QA-SOP-274	SOP	Applicable Standards Management Procedure	LOW
Standard Operating Procedure	CO-QA-SOP-283	SOP	Product Risk Management 	HIGH
Standard Operating Procedure	CO-QA-SOP-284	SOP	FMEA Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-285	SOP	Hazard Analysis Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-326	SOP	Vigilance and Medical Reporting Procedure	HIGH
Standard Operating Procedure	CO-QA-SOP-345	SOP	Tools for Root Cause Analysis	LOW
Standard Operating Procedure	CO-QA-SOP-356	SOP	EU Regulatory Strategy and Process	LOW
Standard Operating Procedure	CO-QA-SOP-357	SOP	EU Performance Evaluation	LOW
Standard Operating Procedure	CO-QC-SOP-012	SOP	Quality Control Out of Specification Results Procedure	HIGH
Standard Operating Procedure	CO-QC-SOP-021	SOP	Use of Stuart SRT6D Roller Mixer	LOW
Standard Operating Procedure	CO-QC-SOP-094	SOP	Procedure to control chemical and biological spillages	HIGH
Standard Operating Procedure	CO-QC-SOP-154	SOP	QC Laboratory Cleaning SOP	HIGH
Standard Operating Procedure	CO-QC-SOP-171	SOP	Quality Control Rounding procedure	LOW
Standard Operating Procedure	CO-QC-SOP-173	SOP	Laboratory Investigation Procedure	HIGH
Standard Operating Procedure	CO-QC-SOP-185	SOP	Use of the SB3 Rotator	LOW
Standard Operating Procedure	CO-QC-SOP-282	SOP	QC Sample Handling and Retention Procedure	HIGH
Standard Operating Procedure	CO-QC-SOP-286	SOP	Procedure for io Release	HIGH
Standard Operating Procedure	CO-QC-SOP-293	SOP	dPCR quantification of CT & NG Vircell inputs	HIGH
Standard Operating Procedure	CO-QC-SOP-299	SOP	#N/A	#N/A
Standard Operating Procedure	CO-SAM-SOP-009	SOP	Control of Marketing and Promotion	LOW
Standard Operating Procedure	CO-SUP-SOP-001	SOP	Procedure for Commercial Storage and Distribution	LOW
Standard Operating Procedure	CO-SUP-SOP-002	SOP	Intrument service and repair	HIGH
Standard Operating Procedure	CO-SUP-SOP-003	SOP	Procudure for inventory control and IBP 	LOW
Standard Operating Procedure	CO-SUP-SOP-005	SOP	New customer procedure	LOW
Standard Operating Procedure	CO-SUP-SOP-006	SOP	Equipment and fulfilment and field visits	LOW
Standard Operating Procedure	CO-SUP-SOP-007	SOP	Procedure for Sales Administration& Order Handling	LOW
Standard Operating Procedure	CO-SUP-SOP-013	SOP	Customer Returns	LOW
Standard Operating Procedure	CO-SUP-SOP-025	SOP	quality Control	LOW
Standard Operating Procedure	CO-SUP-SOP-037	SOP	Complete QC Inspections	LOW
Standard Operating Procedure	CO-SUP-SOP-038	SOP	Change of Stock (QC release)	LOW
Standard Operating Procedure	CO-SUP-SOP-039	SOP	Manage Quality Codes	LOW
Standard Operating Procedure	CO-SUP-SOP-040	SOP	New Customer Set-Up	LOW
Standard Operating Procedure	CO-SUP-SOP-041	SOP	Customer Sales Contracts	LOW
Standard Operating Procedure	CO-SUP-SOP-042	SOP	Enter & Release Sales Orders	LOW
Standard Operating Procedure	CO-SUP-SOP-043	SOP	Mark Sales Orders as Despatched	LOW
Standard Operating Procedure	CO-SUP-SOP-044	SOP	Invoice Customers Manually	LOW
Standard Operating Procedure	CO-SUP-SOP-045	SOP	Cutomer Price Lists	LOW
Standard Operating Procedure	CO-SUP-SOP-046	SOP	Create New Customer Return	LOW
Standard Operating Procedure	CO-SUP-SOP-047	SOP	Transfer Order	LOW
Standard Operating Procedure	CO-SUP-SOP-048	SOP	Raise PO Non Stock and Services	LOW
Standard Operating Procedure	CO-SUP-SOP-049	SOP	Receive non sock PO 	LOW
Standard Operating Procedure	CO-SUP-SOP-050	SOP	Raise PO - Stock Item	LOW
Standard Operating Procedure	CO-SUP-SOP-051	SOP	Receive Stock Purchase Orders	LOW
Standard Operating Procedure	CO-SUP-SOP-052	SOP	New Supplier Set-Up	LOW
Standard Operating Procedure	CO-SUP-SOP-053	SOP	Raise and Release PO	LOW
Standard Operating Procedure	CO-SUP-SOP-054	SOP	Complete PO	LOW
Standard Operating Procedure	CO-SUP-SOP-055	SOP	Goods Movement 	LOW
Standard Operating Procedure	CO-SUP-SOP-056	SOP	Check Sales Order due Date	LOW
Standard Operating Procedure	CO-SUP-SOP-057	SOP	Consume to cost centre or Project 	LOW
Standard Operating Procedure	CO-SUP-SOP-058	SOP	Inspection Plans	LOW
Standard Operating Procedure	CO-SUP-SOP-059	SOP	Credit Customer Returns	LOW
Standard Operating Procedure	CO-SUP-SOP-060	SOP	Customer Returns	LOW
Standard Operating Procedure	CO-SUP-SOP-061	SOP	New Project Set-Up	LOW
Standard Operating Procedure	CO-SUP-SOP-062	SOP	Add Team Member to a Task	LOW
Standard Operating Procedure	CO-SUP-SOP-063	SOP	Book Time Against A Project	LOW
Standard Operating Procedure	CO-SUP-SOP-064	SOP	Create a PO Within a Project	LOW
Standard Operating Procedure	CO-SUP-SOP-065	SOP	Complete a timesheet	LOW
Standard Operating Procedure	CO-SUP-SOP-066	SOP	Manager Approvals App	LOW
Standard Operating Procedure	CO-SUP-SOP-067	SOP	Managing Expired Identified Stock	LOW
Standard Operating Procedure	CO-SUP-SOP-068	SOP	Purchasing SOP	HIGH
Standard Operating Procedure	CO-SUP-SOP-069	SOP	Supplier Evaluation SOP	HIGH
Standard Operating Procedure	CO-SUP-SOP-070	SOP	"Supplier Risk Assessment, Approval and Monitoring Procedure"	HIGH
Standard Operating Procedure	CO-SUP-SOP-072	SOP	"Instructions for receipt of incoming Non-Stock goods, assigning GRN numbers and labelling"	HIGH
Standard Operating Procedure	CO-SUP-SOP-073	SOP	Standard Cost Roll Up	LOW
Standard Operating Procedure	CO-SUP-SOP-074	SOP	UK Stock Procurement & Movements (Supply Chain)	LOW
Standard Operating Procedure	CO-SUP-SOP-075	SOP	Order to Cash	LOW
Standard Operating Procedure	CO-SUP-SOP-231	SOP	New Items	LOW
Standard Operating Procedure	CO-SUP-SOP-277	SOP	"Instructions for receipt of incoming Non-Stock goods, assigning GRN numbers and labelling"	HIGH
Standard Operating Procedure	CO-SUP-SOP-278	SOP	Pilot Line Electronic Stock Control	LOW
Standard Operating Procedure	CO-SUP-SOP-279	SOP	Stock take procedure	LOW
Standard Operating Procedure	CO-SUP-SOP-280	SOP	Setting Expiry Dates for Incoming Materials	HIGH
Standard Operating Procedure	CO-SUP-SOP-281	SOP	Cartridge Component Stock Control Procedure	LOW
Standard Operating Procedure	CO-SUP-SOP-320	SOP	Oak House Supply Chain Reagent Production Process	HIGH
Standard Operating Procedure	CO-SUP-SOP-321	SOP	Incoming Goods Procedure for deliveries into Oak House Manufacturing Site	HIGH
Standard Operating Procedure	CO-SUP-SOP-322	SOP	Supply Team Oak House Operations	HIGH
Standard Operating Procedure	CO-SUP-SOP-323	SOP	Demand Planning	LOW
Standard Operating Procedure	CO-SUP-SOP-324	SOP	Packaging and Shipping procedure for binx Cartridge Reagent	HIGH
